"Block"	"Trial"	"FaceFilename"	"WordFilename"	"Race"	"Fix"	"WordValence"	"Familiar"	"Condition"	"RT"	"Key"	"Error"	"ID"	"race"	"fixation"
1	1	""	"romance"	NA	""	2	NA	NA	3753	2	NA	1	NA	NA
1	2	""	"pest"	NA	""	1	NA	NA	874	1	NA	1	NA	NA
1	3	""	"despair"	NA	""	1	NA	NA	1277	1	NA	1	NA	NA
1	4	""	"success"	NA	""	2	NA	NA	568	2	NA	1	NA	NA
1	5	""	"vacation"	NA	""	2	NA	NA	665	2	NA	1	NA	NA
1	6	""	"joy"	NA	""	2	NA	NA	526	2	NA	1	NA	NA
1	7	""	"smile"	NA	""	2	NA	NA	577	2	NA	1	NA	NA
1	8	""	"cockroach"	NA	""	1	NA	NA	593	1	NA	1	NA	NA
1	9	""	"garbage"	NA	""	1	NA	NA	569	1	NA	1	NA	NA
1	10	""	"vacation"	NA	""	2	NA	NA	650	2	NA	1	NA	NA
1	11	""	"disgust"	NA	""	1	NA	NA	824	1	NA	1	NA	NA
1	12	""	"garbage"	NA	""	1	NA	NA	589	1	NA	1	NA	NA
1	13	""	"sewage"	NA	""	1	NA	NA	517	1	NA	1	NA	NA
1	14	""	"beauty"	NA	""	2	NA	NA	552	2	NA	1	NA	NA
1	15	""	"poison"	NA	""	1	NA	NA	2274	1	NA	1	NA	NA
1	16	""	"pest"	NA	""	1	NA	NA	689	1	NA	1	NA	NA
1	17	""	"joy"	NA	""	2	NA	NA	637	2	NA	1	NA	NA
1	18	""	"despair"	NA	""	1	NA	NA	1155	1	NA	1	NA	NA
1	19	""	"love"	NA	""	2	NA	NA	586	2	NA	1	NA	NA
1	20	""	"love"	NA	""	2	NA	NA	419	2	NA	1	NA	NA
1	21	""	"beauty"	NA	""	2	NA	NA	554	2	NA	1	NA	NA
1	22	""	"paradise"	NA	""	2	NA	NA	755	2	NA	1	NA	NA
1	23	""	"smile"	NA	""	2	NA	NA	764	2	NA	1	NA	NA
1	24	""	"success"	NA	""	2	NA	NA	477	2	NA	1	NA	NA
1	25	""	"vomit"	NA	""	1	NA	NA	610	1	NA	1	NA	NA
1	26	""	"cockroach"	NA	""	1	NA	NA	593	1	NA	1	NA	NA
1	27	""	"paradise"	NA	""	2	NA	NA	593	2	NA	1	NA	NA
1	28	""	"romance"	NA	""	2	NA	NA	585	2	NA	1	NA	NA
1	29	""	"vomit"	NA	""	1	NA	NA	569	1	NA	1	NA	NA
1	30	""	"sewage"	NA	""	1	NA	NA	506	1	NA	1	NA	NA
1	31	""	"poison"	NA	""	1	NA	NA	445	1	NA	1	NA	NA
1	32	""	"disgust"	NA	""	1	NA	NA	716	1	NA	1	NA	NA
2	1	"C:\Hannah's FYP\Black22_neu.jpg"	"joy"	1	"forehead"	2	NA	112	1343	2	0	1	"Black"	"nose"
2	2	"C:\Hannah's FYP\White15_neu.jpg"	"sewage"	2	"forehead"	1	NA	211	671	1	0	1	"White"	"eyes"
2	3	"C:\Hannah's FYP\Black16_neu.jpg"	"despair"	1	"forehead"	1	NA	111	788	1	0	1	"Black"	"eyes"
2	4	"C:\Hannah's FYP\Black17_neu.jpg"	"despair"	1	"forehead"	1	NA	111	818	1	0	1	"Black"	"nose"
2	5	"C:\Hannah's FYP\Black9_neu.jpg"	"joy"	1	"forehead"	2	NA	112	544	2	0	1	"Black"	"eyes"
2	6	"C:\Hannah's FYP\White9_neu.jpg"	"disgust"	2	"forehead"	1	NA	211	835	1	0	1	"White"	"eyes"
2	7	"C:\Hannah's FYP\Black14_neu.jpg"	"cockroach"	1	"forehead"	1	NA	111	832	1	0	1	"Black"	"eyes"
2	8	"C:\Hannah's FYP\Black2_neu.jpg"	"cockroach"	1	"forehead"	1	NA	111	639	1	0	1	"Black"	"forehead"
2	9	"C:\Hannah's FYP\Black10_neu.jpg"	"success"	1	"forehead"	2	NA	112	918	2	0	1	"Black"	"eyes"
2	10	"C:\Hannah's FYP\White6_neu.jpg"	"disgust"	2	"forehead"	1	NA	211	1848	1	0	1	"White"	"forehead"
2	11	"C:\Hannah's FYP\White18_neu.jpg"	"pest"	2	"forehead"	1	NA	211	976	1	0	1	"White"	"nose"
2	12	"C:\Hannah's FYP\White21_neu.jpg"	"vomit"	2	"forehead"	1	NA	211	717	1	0	1	"White"	"nose"
2	13	"C:\Hannah's FYP\White8_neu.jpg"	"pest"	2	"forehead"	1	NA	211	849	1	0	1	"White"	"forehead"
2	14	"C:\Hannah's FYP\Black5_neu.jpg"	"smile"	1	"forehead"	2	NA	112	1119	2	0	1	"Black"	"forehead"
2	15	"C:\Hannah's FYP\Black17_neu.jpg"	"pest"	1	"forehead"	1	NA	111	879	1	0	1	"Black"	"nose"
2	16	"C:\Hannah's FYP\Black17_neu.jpg"	"love"	1	"forehead"	2	NA	112	689	2	0	1	"Black"	"nose"
2	17	"C:\Hannah's FYP\White11_neu.jpg"	"garbage"	2	"forehead"	1	NA	211	789	1	0	1	"White"	"eyes"
2	18	"C:\Hannah's FYP\Black11_neu.jpg"	"romance"	1	"forehead"	2	NA	112	2014	2	0	1	"Black"	"eyes"
2	19	"C:\Hannah's FYP\Black23_neu.jpg"	"poison"	1	"forehead"	1	NA	111	766	1	0	1	"Black"	"nose"
2	20	"C:\Hannah's FYP\Black11_neu.jpg"	"sewage"	1	"forehead"	1	NA	111	656	1	0	1	"Black"	"eyes"
2	21	"C:\Hannah's FYP\Black10_neu.jpg"	"poison"	1	"forehead"	1	NA	111	1278	1	0	1	"Black"	"eyes"
2	22	"C:\Hannah's FYP\White8_neu.jpg"	"success"	2	"forehead"	2	NA	212	738	2	0	1	"White"	"forehead"
2	23	"C:\Hannah's FYP\Black9_neu.jpg"	"cockroach"	1	"forehead"	1	NA	111	700	1	0	1	"Black"	"eyes"
2	24	"C:\Hannah's FYP\Black20_neu.jpg"	"poison"	1	"forehead"	1	NA	111	780	1	0	1	"Black"	"nose"
2	25	"C:\Hannah's FYP\Black9_neu.jpg"	"vacation"	1	"forehead"	2	NA	112	693	2	0	1	"Black"	"eyes"
2	26	"C:\Hannah's FYP\White23_neu.jpg"	"vacation"	2	"forehead"	2	NA	212	998	2	0	1	"White"	"nose"
2	27	"C:\Hannah's FYP\White13_neu.jpg"	"vacation"	2	"forehead"	2	NA	212	654	2	0	1	"White"	"eyes"
2	28	"C:\Hannah's FYP\Black21_neu.jpg"	"garbage"	1	"forehead"	1	NA	111	664	1	0	1	"Black"	"nose"
2	29	"C:\Hannah's FYP\White24_neu.jpg"	"cockroach"	2	"forehead"	1	NA	211	614	1	0	1	"White"	"nose"
2	30	"C:\Hannah's FYP\White1_neu.jpg"	"disgust"	2	"forehead"	1	NA	211	790	1	0	1	"White"	"forehead"
2	31	"C:\Hannah's FYP\White5_neu.jpg"	"romance"	2	"forehead"	2	NA	212	606	2	0	1	"White"	"forehead"
2	32	"C:\Hannah's FYP\Black6_neu.jpg"	"disgust"	1	"forehead"	1	NA	111	1399	1	0	1	"Black"	"forehead"
2	33	"C:\Hannah's FYP\White6_neu.jpg"	"love"	2	"forehead"	2	NA	212	669	2	0	1	"White"	"forehead"
2	34	"C:\Hannah's FYP\Black11_neu.jpg"	"disgust"	1	"forehead"	1	NA	111	1627	1	0	1	"Black"	"eyes"
2	35	"C:\Hannah's FYP\White24_neu.jpg"	"garbage"	2	"forehead"	1	NA	211	727	1	0	1	"White"	"nose"
2	36	"C:\Hannah's FYP\White22_neu.jpg"	"smile"	2	"forehead"	2	NA	212	547	2	0	1	"White"	"nose"
2	37	"C:\Hannah's FYP\White2_neu.jpg"	"smile"	2	"forehead"	2	NA	212	2069	2	0	1	"White"	"forehead"
2	38	"C:\Hannah's FYP\White18_neu.jpg"	"sewage"	2	"forehead"	1	NA	211	868	1	0	1	"White"	"nose"
