Block	Trial	FaceFilename	WordFilename	Race	Fix	WordValence	Familiar	Condition	RT	Key	Error
1	1		romance			2			3753	2	
1	2		pest			1			874	1	
1	3		despair			1			1277	1	
1	4		success			2			568	2	
1	5		vacation			2			665	2	
1	6		joy			2			526	2	
1	7		smile			2			577	2	
1	8		cockroach			1			593	1	
1	9		garbage			1			569	1	
1	10		vacation			2			650	2	
1	11		disgust			1			824	1	
1	12		garbage			1			589	1	
1	13		sewage			1			517	1	
1	14		beauty			2			552	2	
1	15		poison			1			2274	1	
1	16		pest			1			689	1	
1	17		joy			2			637	2	
1	18		despair			1			1155	1	
1	19		love			2			586	2	
1	20		love			2			419	2	
1	21		beauty			2			554	2	
1	22		paradise			2			755	2	
1	23		smile			2			764	2	
1	24		success			2			477	2	
1	25		vomit			1			610	1	
1	26		cockroach			1			593	1	
1	27		paradise			2			593	2	
1	28		romance			2			585	2	
1	29		vomit			1			569	1	
1	30		sewage			1			506	1	
1	31		poison			1			445	1	
1	32		disgust			1			716	1	
2	1	C:\Hannah's FYP\Black22_neu.jpg	joy	1	forehead	2		112	1343	2	0
2	2	C:\Hannah's FYP\White15_neu.jpg	sewage	2	forehead	1		211	671	1	0
2	3	C:\Hannah's FYP\Black16_neu.jpg	despair	1	forehead	1		111	788	1	0
2	4	C:\Hannah's FYP\Black17_neu.jpg	despair	1	forehead	1		111	818	1	0
2	5	C:\Hannah's FYP\Black9_neu.jpg	joy	1	forehead	2		112	544	2	0
2	6	C:\Hannah's FYP\White9_neu.jpg	disgust	2	forehead	1		211	835	1	0
2	7	C:\Hannah's FYP\Black14_neu.jpg	cockroach	1	forehead	1		111	832	1	0
2	8	C:\Hannah's FYP\Black2_neu.jpg	cockroach	1	forehead	1		111	639	1	0
2	9	C:\Hannah's FYP\Black10_neu.jpg	success	1	forehead	2		112	918	2	0
2	10	C:\Hannah's FYP\White6_neu.jpg	disgust	2	forehead	1		211	1848	1	0
2	11	C:\Hannah's FYP\White18_neu.jpg	pest	2	forehead	1		211	976	1	0
2	12	C:\Hannah's FYP\White21_neu.jpg	vomit	2	forehead	1		211	717	1	0
2	13	C:\Hannah's FYP\White8_neu.jpg	pest	2	forehead	1		211	849	1	0
2	14	C:\Hannah's FYP\Black5_neu.jpg	smile	1	forehead	2		112	1119	2	0
